title,email,source_url,location,compensation,employment_type
Mission de Flores Looking for Social Media/Instagram Manager,jwhpn-6485456494@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/mission-de-flores-looking-for/6485456494.html,(mission district),depends on experience,contract
Chinese Language Social Media Specialist,mnpf5-6482317046@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/chinese-language-social-media/6482317046.html,(north beach / telegraph hill),"Approximately $1000 per month, depending on schedule and availability",part-time
Chinese Language SEO and Social Media Expert,r2j4t-6468932214@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/chinese-language-seo-and/6468932214.html,(north beach / telegraph hill),Remuneration and commissions to be discussed.,part-time
Marketing/Social Media Assistant,nxt5g-6468754925@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-social-media/6468754925.html,(mission district),$20/hr,part-time
Social Media Manager needed for well-funded company,dh2hs-6466808598@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/social-media-manager-needed/6466808598.html,(San Francisco),"75,000 - 85,000 total compensation",full-time
Looking For Social Media/Branding Strategists,rxqxs-6462588598@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/looking-for-social-media/6462588598.html,(mission district),$250-$3k per month depending on what can be provided for my numerous clients,part-time
Do Good Bus - Social/PR Intern,,https://sfbay.craigslist.org/sfc/mar/d/do-good-bus-social-pr-intern/6477216976.html,,Attractive compensation package,full-time
Digital Project / Marketing Coordinator,SF70@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/digital-project-marketing/6489178775.html,,Up to $20/hour DOE,contract
Marketing Coordinator,rm77z-6488223963@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-coordinator/6488223963.html,(nob hill),$20-$22/hour DOE,full-time
Integrated Program Marketing Specialist,wgfmq-6488090799@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/integrated-program-marketing/6488090799.html,,Salary + Benefits,full-time
"Director of Communications & Marketing, Youth Financial Capability!",3zkh6-6487992815@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/director-of-communications/6487992815.html,(mission district),"Competitive, full benefits, excellent time off, 401k Match",full-time
"Product Marketing Internship, Venture-Backed Tech Startup",r7bhx-6487925676@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/product-marketing-internship/6487925676.html,(SOMA / south beach),$20/hr,part-time
